Promedio,Edad,Materias,Estudio,Recreo,Amigos
68.6,22,6,2,20,5
86.8,19,6,2.5,5,3
75.6,19,6,2,25,5
87.9,22,6,5,5,8
72.0,20,6,2.5,0.5,6
83.4,22,6,3,10,4
75.0,21,6,2.5,30,4
78.2,24,6,2,15,7
79.6,20,6,1.5,10,3
87.3,23,6,2.5,20,9
81.9,20,6,2,10,7
72.0,21,5,2,30,4
73.0,19,6,2,20,10
89.4,18,6,2.5,10,7
81.6,21,6,3.5,20,3
88.6,23,6,2,10,11
80.0,20,6,1.5,35,8
81.8,20,6,1.5,15,5
76.6,20,6,2.5,20,8
75.2,21,6,2,20,4
68.9,21,6,2,25,5
89.3,22,6,4,10,15
83.2,21,6,1.5,15,7
78.6,22,6,1,35,23
72.1,21,6,1.5,15,6
82.0,22,6,2,15,7
79.2,20,6,3,20,5
89.2,21,6,3,20,6
74.3 ,22,6,1.5,20,5
72.0,22,6,1,10,4
81.3,20,6,1.5,10,5
78.9,22,6,1,10,7
88.7,21,5,2,10,6
84.6,19,6,2,20,7
84.0,22,5,2,20,2
80.9,20,6,2.5,20,7
82.0,20,5,3,10,3
